Word, Count
b'grow',3
b'those',11
b'such',1
b'unbroken',1
b'nice',1
b'good',5
b'creeds',1
b'cycle',3
b'approximately',1
b'got',1
b'coverage',2
b'fair',5
b'wages',4
b'widow',1
b'challenges',1
b'workers\xe2\x80\x94have',1
b'proudly',1
b'against\xe2\x80\x94not',1
b'engagement',1
b'with',32
b'everything',1
b'ensure',3
b'destroy',1
b'alone',2
b'Kansas',1
b'social',1
b'building',1
b'fulfill',1
b'greatly',1
b'pressure',1
b'defeated',1
b'Tonight',3
b'Onethird',1
b'great',15
b'meet',1
b'Governor',1
b'find',5
b'citizens',11
b'economy',1
b'Shaw',2
b'solution',2
b'China',1
b'stamps',1
b'high',5
b'family',4
b'as',21
b'adopting',1
b'destiny',1
b'resources',3
b'Christians',1
b'branch',1
b'story',1
b'done',3
b'healing',1
b'Susan',4
b'big',4
b'available',1
b'USA',1
b'less',1
b'ground',1
b'calling',3
b'thrive',1
b'This',5
b'electric',2
b'debt',1
b'look',4
b'Presidents',1
b'trillions',2
b'wanted',2
b'Switching',1
b'acceptable',1
b'reduce',2
b'effort',2
b'firmly',1
b'us',19
b'poorest',2
b'guided',3
b'communism',1
b'wonder',1
b'swiftly',1
b'parties',2
b'Sitting',1
b'survivor',1
b'His',1
b'premiums',1
b'sweeping',1
b'values',1
b'Their',2
b'veterans',3
b'terrible',3
b'True',1
b'battling',1
b'Detective',1
b'much',8
b'Maureen',2
b'greater',4
b'forever',1
b'expect',2
b'telegraph',1
b'aggressive',1
b'drive',2
b'convicted',1
b'wedge',1
b'More',1
b'raged',1
b'affordable',1
b'never',6
b'infrastructure',6
b'leaving',2
b'Police',1
b'return',1
b'expected',1
b'enforcing',1
b'France',1
b'now\xe2\x80\x94you',1
b'swamp',1
b'education',1
b'greatness',2
b'totally',1
b'Jamiels',1
b'promises',3
b'develop',2
b'care',5
b'names',1
b'times',1
b'heart',1
b'vandalism',1
b'scholarship',1
b'ugly',1
b'The',12
b'office',2
b'enrolled',1
b'hearing',1
b'deep',1
b'possibilities',1
b'chain',1
b'renewal',2
b'Medicaid',1
b'interests',3
b'mistakes',2
b'depresses',1
b'Departments',1
b'including',2
b'100',1
b'other',8
b'Obamacare',5
b'2015',1
b'fights',1
b'parents',1
b'overcome',1
b'crumbled',1
b'came',2
b'roads',1
b'Currently',1
b'learning\xe2\x80\x94great',1
b'failed',2
b'maybe',1
b'doubts',1
b'civil',2
b'accessible',1
b'tens',3
b'treatment',1
b'Above',1
b'heeded',1
b'drain',1
b'welfare',1
b'nothing',2
b'beachhead',1
b'judges',1
b'quiet',2
b'sanctions',1
b'Americans',15
b'shared',1
b'5year',1
b'there',3
b'support',6
b'repeal',1
b'is',58
b'found',1
b'courage',1
b'just',14
b'rebuilds',1
b'change',1
b'further',3
b'may',1
b'national',6
b'vetting',2
b'4000',1
b'intelligence',1
b'Germany',1
b'promise',1
b'we',67
b'fixed',1
b'around',1
b'Security',2
b'911',1
b'Education',1
b'freeze',1
b'then',5
b'always',2
b'Solving',1
b'ability',1
b'fears',1
b'plagued',1
b'honored',1
b'Dakota',1
b'today',2
b'middle',3
b'learn',2
b'missile',1
b'Applause',2
b'America',27
b'private',3
b'problems',1
b'Court',2
b'Finally',3
b'warrior',1
b'800',1
b'approve',2
b'members',4
b'chance',1
b'live',2
b'discussions',1
b'since',7
b'threaten',2
b'take',4
b'A',2
b'Scalia',2
b'forces',1
b'Theres',1
b'another',2
b'fact',3
b'acknowledge',1
b'voices',1
b'accomplish',1
b'economic',1
b'said',4
b'enroll',1
b'face',1
b'Lincoln',2
b'say',1
b'advantage',2
b'Crime',2
b'their',17
b'3',1
b'Violent',1
b'passes',1
b'Kentucky',1
b'Americas',2
b'little',1
b'pass',1
b'home',7
b'hopes',2
b'environment',1
b'faith',1
b'mine',1
b'best',1
b'unnecessary',1
b'clean',2
b'long',7
b'gleaming',1
b'Senior',1
b'able',4
b'issued',1
b'Mr',2
b'showed',2
b'Megans',4
b'Lockheed',1
b'fates',1
b'reaffirmed',1
b'or',7
b'meritbased',2
b'Belgium',1
b'crumbling',1
b'countrys',1
b'four',1
b'hearts',1
b'throughout',4
b'Speaker',1
b'create',7
b'laws',4
b'Jamiel',4
b'again',2
b'purchase',2
