filename, Word, Count
Clinton_1999.txt,b'sensitivity',1
Clinton_1999.txt,b'toughest',1
Clinton_1999.txt,b'bridge',3
Clinton_1999.txt,b'fare',1
Clinton_1999.txt,b'police',2
Clinton_1999.txt,b'1993',1
Clinton_1999.txt,b'70',1
Clinton_1999.txt,b'modeled',1
Clinton_1999.txt,b'miss',2
Clinton_1999.txt,b'Nations',1
Clinton_1999.txt,b'preserve',2
Clinton_1999.txt,b'Lady',1
Clinton_1999.txt,b'otherwise',1
Clinton_1999.txt,b'Every',1
Clinton_1999.txt,b'ratio',1
Clinton_1999.txt,b'women',3
Clinton_1999.txt,b'officers',2
Clinton_1999.txt,b'walked',1
Clinton_1999.txt,b'highest',1
Clinton_1999.txt,b'credit',2
Clinton_1999.txt,b'environment',2
Clinton_1999.txt,b'bravery',2
Clinton_1999.txt,b'Managed',1
Clinton_1999.txt,b'hundreds',2
Clinton_1999.txt,b'ideas',1
Clinton_1999.txt,b'Star',1
Clinton_1999.txt,b'well',5
Clinton_1999.txt,b'sound',3
Clinton_1999.txt,b'major',1
Clinton_1999.txt,b'readiness',2
Clinton_1999.txt,b'redrock',1
Clinton_1999.txt,b'environmentalists',1
Clinton_1999.txt,b'basics',1
Clinton_1999.txt,b'Tanzania',1
Clinton_1999.txt,b'alive',2
Clinton_1999.txt,b'Labor',1
Clinton_1999.txt,b'Since',2
Clinton_1999.txt,b'possible',2
Clinton_1999.txt,b'upcoming',1
Clinton_1999.txt,b'livable',1
Clinton_1999.txt,b'Gods',1
Clinton_1999.txt,b'Six',1
Clinton_1999.txt,b'terrorism',2
Clinton_1999.txt,b'penniless',1
Clinton_1999.txt,b'me',8
Clinton_1999.txt,b'Some',2
Clinton_1999.txt,b'destroy',1
Clinton_1999.txt,b'mission',1
Clinton_1999.txt,b'success',1
Clinton_1999.txt,b'health',9
Clinton_1999.txt,b'sufficient',1
Clinton_1999.txt,b'Mississippi',1
Clinton_1999.txt,b'network',1
Clinton_1999.txt,b'cant',3
Clinton_1999.txt,b'strong',5
Clinton_1999.txt,b'gallery',1
Clinton_1999.txt,b'instead',1
Clinton_1999.txt,b'match',1
Clinton_1999.txt,b'promote',3
Clinton_1999.txt,b'Ban',1
Clinton_1999.txt,b'acres',1
Clinton_1999.txt,b'and',221
Clinton_1999.txt,b'Jeff',1
Clinton_1999.txt,b'endeavors',2
Clinton_1999.txt,b'smallest',1
Clinton_1999.txt,b'Discrimination',1
Clinton_1999.txt,b'what',16
Clinton_1999.txt,b'technology',3
Clinton_1999.txt,b'her',9
Clinton_1999.txt,b'fails',1
Clinton_1999.txt,b'wont',1
Clinton_1999.txt,b'announce',1
Clinton_1999.txt,b'Israels',1
Clinton_1999.txt,b'extending',1
Clinton_1999.txt,b'Hunt',1
Clinton_1999.txt,b'shaped',1
Clinton_1999.txt,b'unsurpassed',1
Clinton_1999.txt,b'Advisory',1
Clinton_1999.txt,b'worry',1
Clinton_1999.txt,b'agreed',1
Clinton_1999.txt,b'extend',3
Clinton_1999.txt,b'ones',1
Clinton_1999.txt,b'implement',2
Clinton_1999.txt,b'party',1
Clinton_1999.txt,b'isolated',1
Clinton_1999.txt,b'life',3
Clinton_1999.txt,b'changes',1
Clinton_1999.txt,b'diploma',1
Clinton_1999.txt,b'discipline',4
Clinton_1999.txt,b'learning',5
Clinton_1999.txt,b'enforceable',1
Clinton_1999.txt,b'will',55
Clinton_1999.txt,b'defied',1
Clinton_1999.txt,b'organizations',1
Clinton_1999.txt,b'social',3
Clinton_1999.txt,b'credits',3
Clinton_1999.txt,b'2030',1
Clinton_1999.txt,b'areas',4
Clinton_1999.txt,b'joined',1
Clinton_1999.txt,b'Therefore',3
Clinton_1999.txt,b'sudden',1
Clinton_1999.txt,b'say',19
